"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"35-44",61000,"11 - 20 years","Master's degree","Woman","Health care","Volunteer Coordinator"
"35-44",41500,"11 - 20 years","College degree","Woman","Nonprofits","marketing and communications coordinator"
"35-44",123000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Engineer"
"45-54",165000,"21 - 30 years","Master's degree","Woman","Engineering or Manufacturing","Software Engineer"
"45-54",72000,"11 - 20 years","College degree","Woman","Computing or Tech","System Consultant"
"35-44",96000,"11 - 20 years","Master's degree","Woman","Health care","Quality data analyst"
"35-44",15000,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Graduate Teaching Assistant"
"35-44",90000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Senior Technical Writer/Editor"
"35-44",67000,"11 - 20 years","Master's degree","Woman","Nonprofits","Research Scientist"
"35-44",31700,"8 - 10 years","College degree","Woman","Law","Paralegal"
"35-44",65000,"21 - 30 years","Master's degree","Woman","Public Libraries","Librarian"
"35-44",1e+05,"11 - 20 years","Master's degree","Woman","Nonprofits","chief of staff"
"25-34",19000,"2 - 4 years","College degree","Woman","Nonprofits","Arts Education Director"
"18-24",47000,"2 - 4 years","College degree","Woman","Health care","Clinical Lab Scientist"
"25-34",45000,"5-7 years","College degree","Woman","Business or Consulting","Executive Assistant"
"25-34",70000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Marketing Manager"
"35-44",66000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Senior Reporting Analyst"
"25-34",31000,"8 - 10 years","College degree","Woman","Retail","Sales Associate/Marketing Coordinator"
"45-54",95000,"21 - 30 years","College degree","Woman","Computing or Tech","SAS Platform Administrator"
"35-44",33000,"11 - 20 years","College degree","Woman","Veterinary","Assistant Manager"
"35-44",139500,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Senior Mechanical Engineer"
"35-44",70000,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Law","Senior Associate"
"35-44",91000,"11 - 20 years","Master's degree","Woman","social science research - not quite academia, not quite nonprofit, not quite consulting","Research Associate"
"55-64",66000,"31 - 40 years","College degree","Woman","Accounting, Banking & Finance","Staff Accountant II"
"25-34",87500,"5-7 years","Master's degree","Man","Marketing, Advertising & PR","Director"
"45-54",64800,"21 - 30 years","College degree","Man","Government and Public Administration","Environmental protection specialist"
"35-44",82500,"8 - 10 years","College degree","Woman","Computing or Tech","Customer Success Manager"
"25-34",44720,"5-7 years","Master's degree","Woman","Health care","Patient Services"
"18-24",70500,"2 - 4 years","College degree","Woman","Computing or Tech","Inventory Analyst"
"25-34",75000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Test Engineer"
"25-34",59000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Insurance","Compliance Consultant (Lawyer)"
"25-34",70000,"11 - 20 years","College degree","Woman","Utilities & Telecommunications","Billing Specialist"
"45-54",128000,"11 - 20 years","College degree","Woman","Government and Public Administration","Program Specialist"
"45-54",222000,"11 - 20 years","College degree","Woman","Biotech/pharmaceuticals","Director, Clinical Operations"
"35-44",55000,"8 - 10 years","College degree","Woman","Law","Paralegal"
"35-44",161730,"8 - 10 years","Professional degree (MD, JD, etc.)","Man","Law","Investigative Counsel"
"35-44",65000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Loan Origination"
"35-44",67000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Speech-language pathologist"
"35-44",75000,"11 - 20 years","College degree","Woman","Computing or Tech","QA Analyst"
"45-54",60000,"11 - 20 years","College degree","Woman","Business or Consulting","Office Manager"
"35-44",70000,"11 - 20 years","Master's degree","Woman","Social Work","Senior therapist"
"35-44",117516,"11 - 20 years","PhD","Woman","Health care","Clinical Psychologist"
"25-34",70000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Senior Quality Control Analyst"
"35-44",71750,"11 - 20 years","College degree","Man","Accounting, Banking & Finance","Associate Manager"
"25-34",50000,"5-7 years","College degree","Woman","Nonprofits","Senior Marketing and Communications Coordinator"
"25-34",48000,"8 - 10 years","College degree","Woman","Health care","RBT"
"45-54",175000,"21 - 30 years","Master's degree","Woman","Health care","VP Operations"
"45-54",65000,"21 - 30 years","Master's degree","Man","Library","Librarian"
"25-34",320000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Health care","Physician"
"45-54",28000,"21 - 30 years","College degree","Woman","Government and Public Administration","Accounts payable"
"45-54",87360,"11 - 20 years","College degree","Woman","Health care","Hospice RN"
"25-34",41000,"11 - 20 years","College degree","Woman","Retail","Assistant Retail Manager"
"35-44",1e+05,"11 - 20 years","College degree","Man","Computing or Tech","Application Security Engineer"
"35-44",130000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","SVP"
"25-34",60000,"5-7 years","College degree","Woman","Recruitment or HR","Recruiting Manager"
"55-64",62400,"31 - 40 years","Master's degree","Woman","Accounting, Banking & Finance","Bookkeeper/Office Manager"
"35-44",158000,"11 - 20 years","College degree","Woman","Computing or Tech","Senior software engineer"
"35-44",91000,"11 - 20 years","Master's degree","Woman","Nonprofits","Research Associate"
"25-34",150000,"5-7 years","PhD","Man","Engineering or Manufacturing","Mechanical Engineer"
"18-24",83000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Mechanical Engineer"
"45-54",68000,"21 - 30 years","College degree","Woman","Health care","Executive Admin"
"25-34",75000,"11 - 20 years","Master's degree","Woman","Renewable Energy","Office Manager"
"35-44",71000,"5-7 years","Master's degree","Woman","Nonprofits","Program Director"
"25-34",64000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Systems analyst"
"35-44",140000,"11 - 20 years","College degree","Woman","Computing or Tech","Apple platforms engineer"
"25-34",49000,"1 year or less","College degree","Woman","Education (Primary/Secondary)","Special Education Teacher"
"25-34",82000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Office Manager"
"55-64",90000,"11 - 20 years","Master's degree","Woman","Social Work","Supervisor"
"45-54",65300,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Business Support Consultant"
"25-34",160000,"5-7 years","College degree","Man","Accounting, Banking & Finance","Quantitative Analyst"
"35-44",83000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Assistant Director"
"18-24",36400,"5-7 years","College degree","Woman","Education (Higher Education)","Associate research specialist"
"25-34",104000,"2 - 4 years","PhD","Woman","Computing or Tech","Curriculum designer"
"25-34",90000,"5-7 years","Master's degree","Woman","Government and Public Administration","COVID Case Investigation Supervisor"
"55-64",98000,"31 - 40 years","College degree","Woman","Utilities & Telecommunications","IT Technical Support Analyst"
"35-44",65000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","SAP Material Master Specialist"
"55-64",29120,"31 - 40 years","College degree","Woman","Utilities & Telecommunications","Accounts Receivable Associate"
"25-34",87500,"5-7 years","Master's degree","Woman","Government and Public Administration","Advisor"
"25-34",53000,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","High school english teacher"
"25-34",90000,"2 - 4 years","College degree","Woman","Computing or Tech","Research Associate II"
"35-44",185000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Commercial real estate underwriter"
"25-34",53000,"8 - 10 years","Master's degree","Woman","Education (Primary/Secondary)","Math Coach"
"25-34",32000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Education (Higher Education)","Adjunct instructor"
"35-44",283000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Business or Consulting","Consultant"
"55-64",79000,"21 - 30 years","College degree","Woman","Computing or Tech","Software developer"
"45-54",78500,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Manufacturing","Accounting Manager"
"25-34",138000,"8 - 10 years","College degree","Woman","Health care","Sr. Process Improvement Coach"
"45-54",42000,"21 - 30 years","College degree","Woman","Insurance","Insurance Case Manager"
"25-34",65000,"8 - 10 years","Master's degree","Woman","Nonprofits","Human Resources Generalist"
"35-44",150000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Utilities & Telecommunications","Product Counsel"
"25-34",140000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Senior Software Engineer"
"25-34",32000,"5-7 years","College degree","Man","Media & Digital","Video Editor"
"45-54",70000,"11 - 20 years","PhD","Woman","Education (Higher Education)","professor"
"25-34",60000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Director of Operations"
"25-34",35000,"5-7 years","College degree","Woman","Nonprofits","Science Program Specialist"
"25-34",26000,"2 - 4 years","College degree","Woman","Health care","Medical Records Clerk/ Pharmacy Cashier"
"35-44",95000,"11 - 20 years","College degree","Woman","Insurance","Senior Account Manager"
"25-34",53000,"8 - 10 years","College degree","Woman","Nonprofits","Fundraising Coordinator"
"35-44",50000,"11 - 20 years","College degree","Woman","Agriculture or Forestry","Veterinary Technician"
"45-54",55000,"21 - 30 years","College degree","Woman","Health care","RN"
"55-64",133151,"31 - 40 years","Master's degree","Woman","Computing or Tech","Systems Architect"
"35-44",78000,"11 - 20 years","College degree","Woman","Insurance","Manager, Operations"
"45-54",70000,"31 - 40 years","College degree","Woman","Nonprofits","Communications and Development Director"
"35-44",78000,"11 - 20 years","College degree","Woman","Insurance","Manager, Operations"
"35-44",25000,"8 - 10 years","College degree","Woman","Education (Primary/Secondary)","Preschool teacher"
"35-44",90000,"11 - 20 years","Master's degree","Woman","Agriculture or Forestry","Program manager"
"35-44",85000,"11 - 20 years","Master's degree","Woman","Nonprofits","Chief Development Officer"
"25-34",50000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Assistant Director of Admissions"
"35-44",175000,"11 - 20 years","College degree","Woman","Computing or Tech","Senior Software Engineer"
"45-54",90000,"11 - 20 years","High School","Woman","Computing or Tech","Executive business administrator"
"35-44",52000,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","Teacher"
"25-34",80000,"5-7 years","PhD","Woman","Nonprofits","Research Scientist"
"25-34",65000,"5-7 years","Master's degree","Woman","Government and Public Administration","Local history librarian"
"35-44",71400,"11 - 20 years","PhD","Woman","Nonprofits","Trainer"
"35-44",195000,"11 - 20 years","College degree","Woman","Computing or Tech","Software developer"
"35-44",132000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Senior Associate"
"25-34",41600,"1 year or less","Master's degree","Woman","Property or Construction","Architectural Intern"
"25-34",50000,"11 - 20 years","High School","Woman","Manufacturing","Senior production technician"
"45-54",250000,"31 - 40 years","College degree","Man","Computing or Tech","Senior SW Engineer"
"45-54",125000,"11 - 20 years","Master's degree","Woman","Sales","Enterprise Account Executive"
"45-54",50000,"31 - 40 years","College degree","Woman","Education (Primary/Secondary)","Administrative Assistant"
"25-34",60667,"5-7 years","Master's degree","Man","Nonprofits","Pastor"
"25-34",123000,"5-7 years","Master's degree","Woman","Government and Public Administration","Operations Research Analyst"
"35-44",75000,"11 - 20 years","College degree","Woman","Insurance","Manager"
"25-34",71000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Audit senior"
"45-54",31702,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Library Assistant"
"45-54",185000,"21 - 30 years","College degree","Woman","Trade association","Senior director"
"35-44",250000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney"
"45-54",32000,"21 - 30 years","College degree","Woman","Nonprofits","Prevention and Administrative Support Specialist"
"65 or over",92000,"31 - 40 years","College degree","Man","Computing or Tech","Database Architect"
"35-44",52000,"11 - 20 years","College degree","Woman","Law","Paralegal"
"25-34",2e+05,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Health care","Physician"
"25-34",140000,"8 - 10 years","Master's degree","Woman","Nonprofits","Product Manager"
"35-44",130000,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","Early Childhood Director"
"35-44",49000,"11 - 20 years","College degree","Woman","Nonprofits","Lab manager"
"25-34",85000,"8 - 10 years","Master's degree","Woman","Business or Consulting","Project Manager"
"25-34",62000,"5-7 years","Master's degree","Woman","Health care","nurse"
"25-34",56405,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Extension Educator"
"35-44",145000,"11 - 20 years","College degree","Man","Computing or Tech","Development Manager"
"35-44",110000,"11 - 20 years","College degree","Woman","Computing or Tech","Content Marketer"
"45-54",91000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Head Librarian"
"25-34",66100,"11 - 20 years","College degree","Woman","Insurance","Client Specialist"
"25-34",52000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Law Clerk"
"25-34",72000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Content Strategist"
"35-44",67000,"21 - 30 years","College degree","Woman","Insurance","Internal Sales Consultant"
"35-44",135000,"11 - 20 years","College degree","Woman","Media & Digital","Senior Managing Editor"
"25-34",190000,"5-7 years","College degree","Woman","Computing or Tech","Software Engineer"
"25-34",77000,"5-7 years","PhD","Woman","Education (Higher Education)","Assistant Professor"
"35-44",128000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Product Manager"
"25-34",173000,"8 - 10 years","Master's degree","Woman","Computing or Tech","Software Engineer"
"45-54",238000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Senior Product Manager"
"25-34",48600,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","program manager"
"45-54",225000,"21 - 30 years","Master's degree","Woman","Media & Digital","Director, Research"
"35-44",111000,"11 - 20 years","PhD","Woman","Life sciences (not in academia)","Data scientist"
"25-34",77459,"2 - 4 years","College degree","Man","Computing or Tech","Systems Engineer - Cybersecurity"
"25-34",120000,"2 - 4 years","PhD","Woman","Computing or Tech","Machine Learning Engineer"
"45-54",129000,"31 - 40 years","College degree","Woman","Property or Construction","Senior Construction Manager"
"25-34",34112,"2 - 4 years","College degree","Woman","Sales","Customer Service Representative"
"45-54",63000,"21 - 30 years","College degree","Woman","Nonprofits","Director of Patron Services"
"25-34",47500,"2 - 4 years","College degree","Woman","Nonprofits","Case manager"
"45-54",137000,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney"
"35-44",79375,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Business Support Manager"
"25-34",125000,"11 - 20 years","College degree","Woman","Professional services","Assistant Director, Brand, Marketing, and Communications"
"25-34",91000,"8 - 10 years","Master's degree","Woman","Media & Digital","Editor"
"35-44",80000,"11 - 20 years","College degree","Woman","Hospitality & Events","General Manager"
"35-44",106000,"11 - 20 years","College degree","Woman","Utilities & Telecommunications","Human Resources Generalist"
"35-44",179000,"11 - 20 years","College degree","Man","Computing or Tech","Front End Engineer"
"35-44",65000,"11 - 20 years","College degree","Woman","Property or Construction","Proposal Coordinator"
"35-44",60000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Scholarly Communication Librarian"
"35-44",127000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Education (Higher Education)","Clinical Assistant Professor"
"25-34",81950,"2 - 4 years","PhD","Woman","Biotech","Scientist 1"
"45-54",112000,"31 - 40 years","College degree","Woman","Insurance","Account Executive"
"25-34",54000,"5-7 years","College degree","Woman","Business or Consulting","Research Analyst"
"35-44",80000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Senior Human Resources Generalist"
"35-44",59000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Education (Primary/Secondary)","Special Education Teacher"
"35-44",108000,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Marketing Manager"
"25-34",57000,"5-7 years","Master's degree","Woman","Marketing, Advertising & PR","Media Strategy Supervisor"
"45-54",57000,"11 - 20 years","Master's degree","Woman","Insurance","Assistant Vice President"
"45-54",64000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Sr Instructor II"
"65 or over",75000,"41 years or more","College degree","Woman","Agriculture or Forestry","Operations Director"
"45-54",205000,"21 - 30 years","College degree","Woman","Pharmaceuticals","Director"
"35-44",133000,"21 - 30 years","Master's degree","Woman","Medical Technology","Senior Manager, Sales Operations"
"35-44",74000,"11 - 20 years","College degree","Woman","BioTech","Manager"
"35-44",109000,"11 - 20 years","Master's degree","Woman","Art & Design","Architect"
"35-44",160000,"11 - 20 years","College degree","Woman","Computing or Tech","Global Compensation Director"
"35-44",36600,"21 - 30 years","Master's degree","Woman","Nonprofits","Reference Librarian"
"25-34",150000,"5-7 years","College degree","Woman","Computing or Tech","Backend Software Engineer"
"45-54",84000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Dean of Library"
"18-24",38105,"1 year or less","College degree","Woman","Accounting, Banking & Finance","Finance Temp"
"25-34",87000,"11 - 20 years","Master's degree","Woman","Insurance","Vendor Contract Manager"
"35-44",60000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Tax analyst"
"35-44",70000,"8 - 10 years","College degree","Man","Engineering or Manufacturing","System Engineer Level 2"
"35-44",95000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Executive assistant"
"45-54",249410,"21 - 30 years","PhD","Man","Education (Primary/Secondary)","Superintendent of Schools"
"25-34",42000,"5-7 years","College degree","Woman","Computing or Tech","Product Specialist"
"25-34",61000,"8 - 10 years","Master's degree","Woman","Social Work","Social Work Supervisor (Care Management)"
"25-34",48000,"8 - 10 years","College degree","Man","Art & Design","Landscape Designer"
"25-34",54000,"2 - 4 years","College degree","Woman","Utilities & Telecommunications","Customer Service Rep 5"
"35-44",125000,"11 - 20 years","College degree","Woman","Nonprofits","Chief Marketing Officer"
"35-44",2e+05,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","Corporate Controller"
"35-44",96800,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Health care","Nurse Practitioner"
"35-44",84000,"11 - 20 years","Master's degree","Woman","Recruitment or HR","HR Manager"
"25-34",120000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Program manager"
"25-34",94000,"5-7 years","Master's degree","Woman","Law","Deputy Public Defender"
"45-54",350000,"31 - 40 years","Master's degree","Woman","Oil and Gas","Director Project Controls"
"25-34",70000,"2 - 4 years","College degree","Woman","Property or Construction","Financial Analyst"
"45-54",65000,"11 - 20 years","Master's degree","Woman","Health care","Research Business Specialist"
"25-34",61000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Senior Policy Analist"
"25-34",86520,"5-7 years","College degree","Woman","Media & Digital","Staff Writer"
"35-44",50000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Library director"
"45-54",125000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Library director"
"25-34",145000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Health care","Float Pharmacist"
"45-54",68000,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","Elementary School Principal"
"25-34",150000,"8 - 10 years","Master's degree","Woman","Computing or Tech","data science"
"35-44",81500,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Government and Public Administration","Custodian of Records"
"25-34",42000,"8 - 10 years","College degree","Woman","Mortgage","Post Closing Corrections Specialist"
"25-34",120000,"8 - 10 years","Master's degree","Man","Computing or Tech","Sales Engineer"
"45-54",155375,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Controller"
"35-44",182000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Business or Consulting","Deputy director"
"35-44",183000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Group Account Director"
"45-54",60000,"11 - 20 years","College degree","Woman","Property or Construction","Transaction Manager"
"25-34",160000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","VP, Director"
"45-54",90000,"11 - 20 years","College degree","Man","Computing or Tech","Systems engineer"
"45-54",50000,"21 - 30 years","College degree","Woman","Health care","Inside Sales & Sales support"
"25-34",190000,"11 - 20 years","College degree","Man","Computing or Tech","CTO"
"25-34",119000,"11 - 20 years","Master's degree","Woman","Health care","Nurse Practitioner"
"25-34",42000,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"25-34",68500,"8 - 10 years","College degree","Woman","Nonprofits","Data Analyst, Fundraising"
"25-34",116000,"11 - 20 years","College degree","Woman","Computing or Tech","IT consultant"
"25-34",55000,"5-7 years","College degree","Woman","Government and Public Administration","General Ledger Accountant"
"45-54",185000,"21 - 30 years","PhD","Woman","Pharmaceutical","Associate Director"
"35-44",60000,"11 - 20 years","Master's degree","Woman","Nonprofits","Program Administrator"
"25-34",80000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Staff Attorney"
"25-34",30160,"5-7 years","College degree","Woman","Law","Legal Assistant"
"45-54",85000,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Health care","RN, Clin Spec V"
"25-34",105000,"5-7 years","PhD","Woman","Engineering or Manufacturing","Scientist"
"35-44",135000,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Associate Creative Director (freelance)"
"25-34",27070,"1 year or less","College degree","Woman","Property or Construction","Receptionist/Escrow Assistant"
"35-44",118560,"11 - 20 years","College degree","Man","Computing or Tech","Senior Software Engineer"
"55-64",60000,"41 years or more","College degree","Man","Sales","Sales rep for fuel, oil and lubes"
"25-34",125000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Systems Engineer Staff"
"45-54",57000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Program Coordinator"
"25-34",110000,"5-7 years","Master's degree","Woman","Computing or Tech","Product Manager"
"45-54",42000,"5-7 years","College degree","Woman","Nonprofits","Executive Director"
"45-54",85000,"21 - 30 years","College degree","Woman","Health care","Executive Assistant"
"25-34",76000,"11 - 20 years","College degree","Woman","Government and Public Administration","Call Center Manager"
"45-54",56000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Executive Assistant"
"18-24",46500,"2 - 4 years","Master's degree","Woman","Social Work","Residential Therapist"
"35-44",90000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Associate professor"
"55-64",65000,"31 - 40 years","College degree","Woman","Transport or Logistics","Supervisor"
"35-44",92500,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Administrative Assistant"
"35-44",80000,"11 - 20 years","College degree","Woman","Art & Design","Architect"
"45-54",72000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Senior Administrative Assistant"
"25-34",50000,"8 - 10 years","College degree","Woman","Utilities & Telecommunications","Project Manager"
"25-34",33000,"11 - 20 years","College degree","Woman","Health care","veterinary assistant"
"35-44",140000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Director Accounting"
"35-44",108000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Research Strategy and Portfolio Manager"
"45-54",133537,"21 - 30 years","College degree","Woman","Computing or Tech","Data Analyst"
"25-34",52000,"5-7 years","College degree","Woman","Computing or Tech","QA Assistant Manager"
"35-44",185000,"11 - 20 years","PhD","Man","Computing or Tech","Senior Software Engineer"
"35-44",37000,"11 - 20 years","College degree","Woman","Outdoor industry/repair and maintenance","Bicycle mechanic"
"25-34",51000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Research Technician (Evaluator)"
"35-44",81000,"11 - 20 years","College degree","Woman","Nonprofits","Regional Quality Supervisor"
"55-64",107000,"21 - 30 years","Master's degree","Woman","Library","Director"
"35-44",49500,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"35-44",108000,"11 - 20 years","College degree","Woman","Government and Public Administration","Intern & STEM Outreach Coordinator"
"25-34",1e+05,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Senior Internal Auditor"
"25-34",80000,"5-7 years","Master's degree","Woman","Nonprofits","Program Officer"
"35-44",1e+05,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Education (Primary/Secondary)","SAT and ACT Tutor"
"25-34",69000,"5-7 years","College degree","Woman","Law","Legal Assistant"
"25-34",37000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Accounting Associate (temp)"
"25-34",77000,"5-7 years","College degree","Woman","Insurance","Data Analyst III"
"25-34",74000,"2 - 4 years","Master's degree","Man","Health care","Associate Scientist II"
"35-44",90000,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Events manager"
"25-34",49500,"5-7 years","Master's degree","Woman","Nonprofits","Cataloging Librarian"
"35-44",75000,"11 - 20 years","College degree","Woman","Insurance","Utilization Management Manager"
"35-44",34000,"21 - 30 years","College degree","Woman","Government and Public Administration","Library Assistant I"
"25-34",78000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Health care","Physical therapist"
"35-44",65000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Regional Associate"
"45-54",425000,"5-7 years","College degree","Woman","Computing or Tech","Desktop Supporg"
"25-34",5e+05,"5-7 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"25-34",80000,"5-7 years","Master's degree","Woman","Media & Digital","Multimedia Developer"
"45-54",135000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Associate Director of Public Health Program"
"25-34",55000,"5-7 years","College degree","Woman","Leisure, Sport & Tourism","Director"
"45-54",88000,"21 - 30 years","College degree","Woman","Computing or Tech","Director of Managed Services"
"45-54",52000,"21 - 30 years","High School","Woman","Government and Public Administration","Utility Billing Manager"
"35-44",130000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Managing Consultant"
"35-44",41600,"5-7 years","College degree","Woman","Health care","Healthcare rep"
"35-44",69500,"11 - 20 years","Master's degree","Woman","Nonprofits","Major Gifts Officer"
"25-34",88000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Associate Director"
"35-44",54739,"11 - 20 years","College degree","Woman","Hospitality & Events","Senior analyst"
"25-34",1e+05,"5-7 years","PhD","Woman","Pharmaceutical","Associate Scientific Director"
"25-34",156600,"11 - 20 years","College degree","Woman","Computing or Tech","Field Marketing Manager"
"25-34",120000,"5-7 years","Master's degree","Woman","Government and Public Administration","Business Analyst"
"35-44",127500,"11 - 20 years","College degree","Woman","Computing or Tech","Staff Software Engineer"
"25-34",55000,"2 - 4 years","College degree","Woman","Nonprofits","Data Analyst"
"25-34",115000,"5-7 years","PhD","Woman","National laboratory","Senior Engineer A"
"45-54",75000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Development"
"25-34",69888,"5-7 years","College degree","Woman","Health care","Registered Nurse"
"25-34",68000,"8 - 10 years","Master's degree","Woman","Social Work","Clinic Director"
"35-44",157000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Senior Software Engineer"
"55-64",152000,"31 - 40 years","Master's degree","Woman","Health care","Senior ITIL Process Expert"
"45-54",90000,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Government and Public Administration","Attorney advisor"
"25-34",54000,"11 - 20 years","College degree","Woman","Law","Professional Development Assistant"
"25-34",73000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Assistant District Attorney"
"35-44",175000,"11 - 20 years","Master's degree","Man","Computing or Tech","Software Engineer"
"35-44",83600,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Director of Counseling"
"25-34",46000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Property Appraiser"
"35-44",71000,"11 - 20 years","Master's degree","Woman","Social Work","Supervisor"
"25-34",94300,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Integration and Test Engineer"
"25-34",55200,"8 - 10 years","College degree","Woman","Education (Primary/Secondary)","Classroom Teacher"
"35-44",92500,"11 - 20 years","Master's degree","Woman","Business or Consulting","Project Manager"
"35-44",155000,"11 - 20 years","PhD","Woman","Computing or Tech","Principal Research Scientist"
"25-34",70000,"8 - 10 years","Master's degree","Woman","Nonprofits","Project manager"
"25-34",85000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Production Manager"
"25-34",30368,"8 - 10 years","College degree","Woman","Analytical lab","Shipping and sample prep"
